money,1.0
bank,0.8679
account,0.6888
transaction,0.5343
transfer,0.4843
business,0.4734
country,0.429
fund,0.4256
foreign,0.386
next,0.3745
company,0.3728
please,0.3416
dollars,0.332
kin,0.33
family,0.3252
contact,0.3059
funds,0.2735
com,0.2711
security,0.2665
content,0.262
name,0.2571
email,0.2523
sum,0.2465
assistance,0.2407
mail,0.232
government,0.2286
information,0.2132
claim,0.212
private,0.1982
fax,0.1977
reply,0.19
united,0.1861
africa,0.1813
death,0.1695
late,0.1695
investment,0.1688
number,0.1639
yahoo,0.1603
confidential,0.1574
assist,0.1538
text,0.1533
total,0.1523
foreigner,0.1521
regards,0.1519
years,0.1509
telephone,0.1497
amount,0.1492
dear,0.1463
states,0.1444
person,0.1412
deposit,0.1369
receive,0.1347
partner,0.1321
letter,0.1316
proposal,0.1296
type,0.1282
due,0.1282
trust,0.1277
president,0.1275
free,0.1272
beneficiary,0.1268
urgent,0.1239
south,0.1236
help,0.1231
documents,0.1229
nigeria,0.1229
father,0.1212
response,0.121
get,0.12
interest,0.1147
expenses,0.1147
new,0.1137
payment,0.113
send,0.1125
crash,0.1099
department,0.1094
husband,0.1094
personal,0.1089
enable,0.1079
good,0.1067
share,0.1062
god,0.1053
contract,0.1045
relation,0.1026
size,0.1024
present,0.1021
necessary,0.1007
give,0.1004
safe,0.1004
come,0.0985
manager,0.0958
risk,0.0956
work,0.0946
world,0.0946
know,0.0932
life,0.0927
african,0.0908
friend,0.0896
plane,0.0881
director,0.0869
client,0.0869
deal,0.0864
nobody,0.0855
numbers,0.0852
son,0.084
interested,0.0823
attorney,0.0821
full,0.0818
sir,0.0811
development,0.0809
release,0.0809
plain,0.0794
phone,0.0794
cannot,0.0789
want,0.0789
message,0.0787
confidentiality,0.0787
law,0.0782
reliable,0.0777
office,0.077
position,0.0765
operation,0.0763
hence,0.0739
communication,0.0732
confidence,0.0729
take,0.0717
wife,0.0712
consignment,0.0707
banking,0.0707
thousand,0.0703
faso,0.07
situation,0.0693
make,0.0693
secret,0.069
service,0.0688
treasury,0.0683
behalf,0.0678
part,0.0676
matter,0.0671
mrs,0.0669
state,0.0664
printable,0.0662
fact,0.0662
burkina,0.0659
year,0.0649
bill,0.0645
finance,0.064
top,0.064
last,0.0637
let,0.0637
whole,0.0637
wish,0.0635
customer,0.0635
oil,0.0635
use,0.0635
days,0.0633
project,0.063
former,0.0628
political,0.0628
box,0.0628
need,0.0628
successful,0.0628
international,0.0628
face,0.0623
firm,0.0613
immediate,0.0613
arrangement,0.0611
federal,0.0611
request,0.0608
day,0.0604
thanks,0.0601
unclaimed,0.0592
reason,0.0592
easy,0.0589
opportunity,0.0589
investigation,0.0589
officials,0.0582
note,0.0582
republic,0.0579
direct,0.0577
owner,0.0575
keep,0.057
seek,0.0563
usd,0.056
willing,0.0555
respect,0.055
huge,0.0548
application,0.0543
civil,0.0541
receipt,0.0538
internet,0.0538
tel,0.0536
ministry,0.0534
hear,0.0531
accounts,0.0529
way,0.0524
financial,0.0524
end,0.0519
legal,0.0517
place,0.0517
